source	destination	distance_km	distance_mi
13	25	6650	4156
13	3	6571	4107
13	20	6796	4248
13	32	6854	4284
13	9	7510	4694
13	6	10849	6781
13	36	15119	9449
13	31	15339	9587
13	21	15501	9688
13	1	15988	9993
13	8	14193	8871
13	34	7511	4694
40	24	3752	2345
40	30	3916	2448
40	23	3920	2450
40	37	3725	2328
40	38	3219	2012
40	33	3087	1929
40	12	1945	1216
40	39	2014	1259
40	22	973	608
40	2	537	336
40	13	273	171
40	40	0	0
40	16	76	48
40	18	928	580
40	15	1539	962
40	0	7738	4836
40	19	5234	3271
40	11	5842	3651
40	7	6124	3828
40	4	6110	3819
40	17	6436	4023
40	26	6455	4034
40	5	6436	4023
40	29	6474	4046
40	35	6595	4122
40	27	6737	4211
40	10	6582	4114
40	25	6907	4317
40	3	6841	4276
40	20	7068	4418
40	32	7121	4451
40	9	7765	4853
40	6	10884	6803
40	36	15294	9559
40	31	15503	9689
40	21	15285	9553
40	1	15752	9845
40	8	13930	8706
40	34	7776	4860
16	24	3712	2320
16	30	3858	2411
16	23	3862	2414
16	37	3661	2288
16	38	3152	1970
16	33	3013	1883
16	12	1871	1169
16	39	1938	1211
16	22	925	578
16	2	547	342
16	13	348	218
16	40	76	48
16	16	0	0
16	18	854	534
16	15	1489	931
16	0	7745	4841
16	19	5308	3318
16	11	5916	3698
16	7	6197	3873
16	4	6184	3865
16	17	6512	4070
16	26	6526	4079
16	5	6509	4068
16	29	6548	4093
16	35	6670	4169
16	27	6812	4258
16	10	6650	4156
16	25	6974	4359
16	3	6914	4321
16	20	7141	4463
16	32	7193	4496
16	9	7831	4894
16	6	10882	6801
16	36	15332	9583
16	31	15537	9711
16	21	15219	9512
16	1	15681	9801
16	8	13854	8659
16	34	7847	4904
18	24	3508	2193
18	30	3401	2126
18	23	3400	2125
18	37	3110	1944
18	38	2557	1598
18	33	2159	1349
18	12	1155	722
18	39	1129	706
18	22	948	593
18	2	1183	739
18	13	1200	750
18	40	928	580
18	16	854	534
18	18	0	0
18	15	972	608
18	0	7659	4787
18	19	6162	3851
18	11	6770	4231
18	7	7050	4406
18	4	7037	4398
18	17	7353	4596
18	26	7372	4608
18	5	7361	4601
18	29	7402	4626
18	35	7523	4702
18	27	7664	4790
18	10	7483	4677
18	25	7799	4874
18	3	7767	4854
18	20	7995	4997
18	32	8040	5025
18	9	8651	5407
18	6	11038	6899
18	36	15864	9915
18	31	16025	10016
18	21	14546	9091
18	1	14944	9340
18	8	13041	8151
18	34	8690	5431
15	24	4391	2744
15	30	4125	2578
15	23	4120	2575
15	37	3754	2346
15	38	3180	1988
15	33	2062	1289
15	12	1781	1113
15	39	1554	971
15	22	1913	1196
15	2	1988	1243
15	13	1756	1098
15	40	1539	962
15	16	1489	931
15	18	972	608
15	15	0	0
15	0	6724	4203
15	19	6513	4071
15	11	7127	4454
15	7	7435	4647
15	4	7357	4598
15	17	7545	4716
15	26	7835	4897
15	5	7764	4853
15	29	7765	4853
15	35	7842	4901
15	27	7955	4972
15	10	8015	5009
15	25	8356	5223
15	3	8154	5096
15	20	8362	5226
15	32	8487	5304
15	9	9222	5764
15	6	11996	7498
15	36	16792	10495
15	31	16972	10608
15	21	14760	9225
15	1	15024	9390
15	8	12966	8104
15	34	9162	5726
0	24	11071	6919
0	30	10592	6620
0	23	10600	6625
0	37	10140	6338
0	38	9608	6005
0	33	7679	4799
0	12	8404	5253
0	39	8085	5053
0	22	8529	5331
0	2	8270	5169
0	13	7757	4848
0	40	7738	4836
0	16	7745	4841
0	18	7659	4787
0	15	6724	4203
0	0	0	0
0	19	8989	5618
0	11	9278	5799
0	7	9563	5977
0	4	9169	5731
0	17	8541	5338
0	26	10196	6373
0	5	9812	6133
0	29	9587	5992
0	35	9371	5857
0	27	9262	5789
0	10	10702	6689
0	25	11027	6892
0	3	9893	6183
0	20	9876	6173
0	32	10405	6503
0	9	11546	7216
0	6	18566	11604
0	36	15645	9778
0	31	15724	9828
0	21	14149	8843
0	1	13521	8451
0	8	12284	7678
0	34	10875	6797
19	24	7260	4538
19	30	8120	5075
19	23	8136	5085
19	37	8231	5144
19	38	7933	4958
19	33	8321	5201
19	12	7074	4421
19	39	7205	4503
19	22	5767	3604
19	2	5117	3198
19	13	4962	3101
19	40	5234	3271
19	16	5308	3318
19	18	6162	3851
19	15	6513	4071
19	0	8989	5618
19	19	0	0
19	11	614	384
19	7	931	582
19	4	884	553
19	17	1470	919
19	26	1458	911
19	5	1271	794
19	29	1252	783
19	35	1364	853
19	27	1522	951
19	10	1852	1158
19	25	2227	1392
19	3	1643	1027
19	20	1849	1156
19	32	2030	1269
19	9	3015	1884
19	6	9779	6112
19	36	11114	6946
19	31	11421	7138
19	21	16884	10553
19	1	17435	10897
19	8	18269	11418
19	34	2719	1699
11	24	7715	4822
11	30	8618	5386
11	23	8634	5396
11	37	8756	5473
11	38	8482	5301
11	33	8929	5581
11	12	7638	4774
11	39	7804	4878
11	22	6353	3971
11	2	5713	3571
11	13	5570	3481
11	40	5842	3651
11	16	5916	3698
11	18	6770	4231
11	15	7127	4454
11	0	9278	5799
11	19	614	384
11	11	0	0
11	7	343	214
11	4	343	214
11	17	1138	711
11	26	958	599
11	5	682	426
11	29	637	398
11	35	775	484
11	27	959	599
11	10	1433	896
11	25	1784	1115
11	3	1033	646
11	20	1235	772
11	32	1449	906
11	9	2501	1563
11	6	9559	5974
11	36	10546	6591
11	31	10855	6784
11	21	16527	10329
11	1	16994	10621
11	8	18322	11451
11	34	2133	1333
7	24	7839	4899
7	30	8773	5483
7	23	8791	5494
7	37	8935	5584
7	38	8684	5428
7	33	9207	5754
7	12	7889	4931
7	39	8067	5042
7	22	6600	4125
7	2	5973	3733
7	13	5853	3658
7	40	6124	3828
7	16	6197	3873
7	18	7050	4406
7	15	7435	4647
7	0	9563	5977
7	19	931	582
7	11	343	214
7	7	0	0
7	4	417	261
7	17	1228	768
7	26	638	399
7	5	342	214
7	29	369	231
7	35	612	383
7	27	828	518
7	10	1139	712
7	25	1473	921
7	3	720	450
7	20	945	591
7	32	1108	693
7	9	2163	1352
7	6	9302	5814
7	36	10205	6378
7	31	10514	6571
7	21	16208	10130
7	1	16658	10411
7	8	18115	11322
7	34	1794	1121
4	24	8056	5035
4	30	8954	5596
4	23	8970	5606
4	37	9085	5678
4	38	8802	5501
4	33	9196	5748
4	12	7930	4956
4	39	8087	5054
4	22	6651	4157
4	2	6001	3751
4	13	5837	3648
4	40	6110	3819
4	16	6184	3865
4	18	7037	4398
4	15	7357	4598
4	0	9169	5731
4	19	884	553
4	11	343	214
4	7	417	261
4	4	0	0
4	17	831	519
4	26	1029	643
4	5	651	407
4	29	478	299
4	35	487	304
4	27	640	400
4	10	1543	964
4	25	1859	1162
4	3	882	551
4	20	1034	646
4	32	1367	854
4	9	2486	1554
4	6	9712	6070
4	36	10424	6515
4	31	10737	6711
4	21	16558	10349
4	1	16960	10600
4	8	18531	11582
4	34	2024	1265
17	24	8727	5454
17	30	9568	5980
17	23	9583	5989
17	37	9654	6034
17	38	9322	5826
17	33	9489	5931
17	12	8331	5207
17	39	8446	5279
17	22	7081	4426
17	2	6402	4001
17	13	6166	3854
17	40	6436	4023
17	16	6512	4070
17	18	7353	4596
17	15	7545	4716
17	0	8541	5338
17	19	1470	919
17	11	1138	711
17	7	1228	768
17	4	831	519
17	17	0	0
17	26	1761	1101
17	5	1348	843
17	29	1093	683
17	35	836	523
17	27	725	453
17	10	2277	1423
17	25	2541	1588
17	3	1353	846
17	20	1350	844
17	32	1864	1165
17	9	3010	1881
17	6	10414	6509
17	36	10567	6604
17	31	10883	6802
17	21	16948	10593
17	1	17180	10738
17	8	19188	11993
17	34	2394	1496
26	24	7800	4875
26	30	8791	5494
26	23	8809	5506
26	37	9002	5626
26	38	8803	5502
26	33	9509	5943
26	12	8130	5081
26	39	8338	5211
26	22	6840	4275
26	2	6250	3906
26	13	6188	3868
26	40	6455	4034
26	16	6526	4079
26	18	7372	4608
